1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,geno,behaviour,fitness
39,39,39,39,39,39,39,39,37,36,35,34,33,10,10,9,7,7,4,4,30,27,16,13,13,13,13,12,12,11,11,11,11,10,10,9,9,9,9,7,35,35,34,34,34,34,34,34,34,34,33,33,33,33,33,32,32,32,31,31,3,--fsm-config --nstates 3 --s0 4 --att0 2.39 --s1 4 --att1 0.02 --s2 3  --n2 2 --n2x0 0 --c2x0 1 --p2x0 0.73 --n2x1 1 --c2x1 0 --p2x1 0.35 ,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9699009344715089, 0.9430451793278125, 0.9110621291822303, 0.8939983661512324, 0.8671438585012582, 0.2715225277070748, 0.2631689511586761, 0.23579482242345925, 0.200030861758136, 0.19858846449169293, 0.12424858604904605, 0.11071626768288242, 0.7750939564423033, 0.6978189938285805, 0.41170126909526794, 0.3585749575092619, 0.35806212773168977, 0.3412399242207708, 0.33590882818843854, 0.3115104873645367, 0.3099003966238115, 0.29627393730697094, 0.2927037369395702, 0.2894609461151939, 0.28681119901874813, 0.27578397976092317, 0.2667632840731778, 0.25329269843298136, 0.2488435667093864, 0.24062860402471037, 0.23642053860998005, 0.19607566222516687, 0.8984408507669428, 0.8984408507669428, 0.8974339687977511, 0.8974339687977511, 0.8907275134848028, 0.8907275134848028, 0.8872687729686441, 0.8872687729686441, 0.8811987568785349, 0.8764336587315241, 0.865027915108373, 0.865027915108373, 0.8646118062980095, 0.8566086994244428, 0.8566086994244428, 0.8440749427680484, 0.8378010953330294, 0.8292810923069772, 0.8193150475868349, 0.8117833873866589, 0.10016666666666667]",2
39,37,29,25,22,22,13,13,12,12,12,12,10,8,7,5,5,4,4,4,38,31,26,22,17,17,16,15,13,12,9,8,8,6,6,6,5,4,4,4,32,32,24,24,23,23,20,20,19,19,19,19,19,17,17,17,16,15,15,15,6,--fsm-config --nstates 4 --s0 1  --n0 3 --n0x0 0 --c0x0 0 --p0x0 0.8 --n0x1 2 --c0x1 3 --w0x1 19.79 --p0x1 4 --n0x2 0 --c0x2 5 --p0x2 0.88 --s1 5 --rep1 3.7 --n1 2 --n1x0 2 --c1x0 1 --p1x0 0.55 --n1x1 0 --c1x1 1 --p1x1 0.78 --s2 0 --rwm2 81 --n2 3 --n2x0 1 --c2x0 5 --p2x0 0.6 --n2x1 1 --c2x1 0 --p2x1 0.34 --n2x2 0 --c2x2 3 --w2x2 18.81 --p2x2 8 --s3 0 --rwm3 46 --n3 2 --n3x0 0 --c3x0 2 --p3x0 0.47 --n3x1 0 --c3x1 5 --p3x1 0.57 ,"[1.0, 0.9729502289743456, 0.7609722320546487, 0.6655685152574375, 0.5739108206227924, 0.5659936912952747, 0.3570520237137164, 0.35147338277064744, 0.33314985957295284, 0.32397802954048766, 0.31393932240927347, 0.3129433497338424, 0.2803457898229617, 0.2126923932814756, 0.18549402754108338, 0.15200634126588877, 0.15119082326622796, 0.11914062013208368, 0.11110721229504654, 0.1108459038267032, 0.9798774540110167, 0.7968799109959409, 0.683054361122846, 0.5834584828238494, 0.45998735042881145, 0.4439252948720153, 0.4252256477319187, 0.40660141086337687, 0.33635946625759794, 0.3240369873849468, 0.2458301321926867, 0.2218628196002697, 0.20973753097571568, 0.17446796493659095, 0.15751242162661883, 0.15473181815186343, 0.1359098097809311, 0.12221441200895927, 0.1147691322653665, 0.1060429584876005, 0.8367953271469383, 0.8367953271469383, 0.6315837787396142, 0.6315837787396142, 0.6144542575094754, 0.6144542575094754, 0.535832738387538, 0.535832738387538, 0.5095296962059095, 0.5090307419961019, 0.5090307419961019, 0.49881332930849154, 0.49881332930849154, 0.45025965149260916, 0.4437409308895077, 0.43988081698401554, 0.4212930426318434, 0.40296770508698937, 0.3922277779683444, 0.3922277779683444, 0.17325]",3
39,30,26,25,22,20,15,15,14,12,12,12,10,10,9,7,6,5,4,4,39,28,24,24,21,18,16,15,13,10,10,10,9,9,8,6,5,5,4,4,32,32,31,31,31,29,29,29,29,29,27,27,25,25,24,24,21,19,17,12,8,--fsm-config --nstates 1 --s0 5 --rep0 0.71 ,"[1.0, 0.7933556493222634, 0.6785048440009893, 0.6639668261861563, 0.5771251227899905, 0.5268134112797218, 0.40985025137295805, 0.3851163034587311, 0.3761660927382451, 0.3317041454092062, 0.32740814122646755, 0.31935522301146063, 0.26996699699519666, 0.2570932840636206, 0.23340094145215123, 0.18900728942956752, 0.17654387462753274, 0.15338137154863515, 0.11578305970567915, 0.10913575817129678, 1.0, 0.728938833727264, 0.6381468102466795, 0.6274416787013202, 0.5460066852109389, 0.48116184164337933, 0.4241768176769722, 0.4041365738024472, 0.33396524102146186, 0.2768263088744554, 0.2750906803181836, 0.2680438989578313, 0.24620845382095013, 0.23336935999738193, 0.22797261403874147, 0.15897850270826855, 0.13661030804282243, 0.13088776522245102, 0.12577883141885604, 0.1076161213013243, 0.8438099705239227, 0.8438099705239227, 0.8089146107470463, 0.8089146107470463, 0.7996716127078152, 0.7670895578361573, 0.7670895578361573, 0.7624434790562341, 0.7521517296517101, 0.7521517296517101, 0.7161104721467554, 0.7161104721467554, 0.6594437845314934, 0.6594437845314934, 0.6196154950359933, 0.6196154950359933, 0.5559489208819269, 0.49369214873274464, 0.4389796957726312, 0.3232958841948879, 0.20629166666666668]",3
6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,39,35,34,33,31,30,29,29,28,28,27,26,26,25,25,25,24,24,23,22,35,35,35,35,34,34,34,34,34,34,34,33,33,33,33,33,33,33,32,31,31,--fsm-config --nstates 3 --s0 3  --n0 1 --n0x0 0 --c0x0 1 --p0x0 0.29 --s1 1  --n1 2 --n1x0 0 --c1x0 4 --w1x0 14.52 --p1x0 8 --n1x1 1 --c1x1 1 --p1x1 0.89 --s2 2  ,"[0.16188162595370867, 0.14704278768026785, 0.1468949822375754, 0.13683821284248585, 0.13279790418996112, 0.13122130869095083, 0.1286295849410457, 0.1249638147406054, 0.1219938814156171, 0.11749262050144178, 0.1168421617558609, 0.11581030461612644, 0.10706312947260387, 0.10612468269696207, 0.10345347913819072, 0.1034433651951799, 0.10247528875620018, 0.10228738991240227, 0.10178427900739223, 0.10124304139756496, 1.0, 0.9183362144110069, 0.891668406440363, 0.8633308315443624, 0.8166349701436387, 0.771051130462146, 0.7682172665149565, 0.7646866905141967, 0.7298075529393254, 0.72895928361388, 0.7047144289999295, 0.6873437754056565, 0.6755224559829376, 0.6556470921532598, 0.6431861787586312, 0.6417615032865606, 0.6225451387359371, 0.6156111379528681, 0.5944265475930566, 0.5749557682127489, 0.8983519876824164, 0.8983519876824164, 0.8981837046879382, 0.8981837046879382, 0.8890384981139733, 0.8890384981139733, 0.8842592217024438, 0.8828280381665001, 0.8743454057726344, 0.8730949477628154, 0.8730949477628154, 0.8701866422807621, 0.8701866422807621, 0.8663797748747184, 0.8663797748747184, 0.8558604349325816, 0.8558604349325816, 0.8534168483753722, 0.831543655100944, 0.8190519141497724, 0.8040833333333334]",16
39,37,37,35,32,26,22,19,15,13,12,12,11,10,8,7,6,5,5,4,39,36,24,21,17,16,15,13,12,11,10,10,9,8,8,7,7,5,5,4,32,32,31,31,31,31,29,29,29,29,27,27,26,26,26,26,25,24,24,15,8,--fsm-config --nstates 1 --s0 0 --rwm0 17 ,"[1.0, 0.9699654244898515, 0.9550719336580313, 0.9073943816580975, 0.8313322047199565, 0.6688784989694427, 0.5763209311238126, 0.4891797457660578, 0.39029743896365915, 0.34821368469565905, 0.3316261619292361, 0.3148119400349128, 0.30596209191854706, 0.26957214698678644, 0.20908652193698635, 0.20169189448440517, 0.1625728681225635, 0.15145208243435077, 0.14296298823090325, 0.10398010110871257, 1.0, 0.9274751007262491, 0.6202413928205975, 0.5490010545239885, 0.4435698363860011, 0.4190124586135879, 0.394389221610239, 0.3416096812447577, 0.3263422484430729, 0.30563023239898257, 0.27282886852302485, 0.26135246198295486, 0.25268066142375084, 0.21729596754452546, 0.2059675461662538, 0.19481862550926946, 0.18737186632040181, 0.15184230405653912, 0.15118509817603523, 0.11712911531947086, 0.8319756987328092, 0.8319756987328092, 0.8078497953908098, 0.8078497953908098, 0.7994029218106464, 0.7994029218106464, 0.7470512323676823, 0.7470512323676823, 0.7453657474881126, 0.7453657474881126, 0.7062547107410639, 0.7062547107410639, 0.6915533436131275, 0.6767039344017466, 0.6731979635766044, 0.6731979635766044, 0.6603973557127262, 0.624553553801972, 0.618404435800727, 0.38474065418743286, 0.22870833333333335]",2
33,30,28,27,27,25,21,18,18,15,15,13,11,10,10,9,7,6,5,4,32,26,25,24,21,20,19,18,18,18,15,15,15,13,8,8,7,7,5,4,32,32,32,32,30,30,28,28,28,27,27,26,26,26,26,24,19,18,15,15,7,--fsm-config --nstates 3 --s0 1  --n0 1 --n0x0 0 --c0x0 2 --p0x0 0.22 --s1 0 --rwm1 47 --s2 2  --n2 2 --n2x0 0 --c2x0 4 --w2x0 8.01 --p2x0 9 --n2x1 0 --c2x1 0 --p2x1 0.96 ,"[0.8481909219745197, 0.7893987509095578, 0.7189645416747681, 0.7088100191010394, 0.7020775476863769, 0.6458265759856732, 0.5572437742408428, 0.48219068019790134, 0.4656832279578016, 0.40888145204501763, 0.39446151565868914, 0.33567690756672525, 0.29069024910154506, 0.26954675690945884, 0.2640512065879479, 0.23621965018135807, 0.18391900779739942, 0.15417711454402497, 0.13299112332416532, 0.10561002440814704, 0.8291585562654783, 0.6825404895024798, 0.6642686114619328, 0.6405113305101006, 0.5571389719388524, 0.523415328659758, 0.4987423291545006, 0.48147980406229973, 0.47014755152816445, 0.4644788412641102, 0.407580224351325, 0.3984502205998023, 0.3963291706729782, 0.33882490819931, 0.22573516847315922, 0.22489059043109713, 0.20408726148727, 0.19963626548210914, 0.15299835721020824, 0.1132764945144903, 0.8276788970248031, 0.8276788970248031, 0.8227795890573323, 0.8227795890573323, 0.7816676797994797, 0.7816676797994797, 0.7428503897841032, 0.7370656779409882, 0.7370656779409882, 0.7044744142316952, 0.7044744142316952, 0.6743005377972358, 0.6743005377972358, 0.6706348544278721, 0.6706348544278721, 0.6396290657809124, 0.5089427054642383, 0.4836539234023899, 0.4077438042447373, 0.4077438042447373, 0.2]",4
30,28,27,26,25,25,25,25,24,24,23,23,23,22,21,19,18,15,15,13,14,11,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,34,34,34,34,34,34,34,34,34,34,33,33,33,33,32,32,32,31,20,20,0,--fsm-config --nstates 4 --s0 3  --n0 1 --n0x0 2 --c0x0 0 --p0x0 0.46 --s1 0 --rwm1 64 --n1 2 --n1x0 0 --c1x0 0 --p1x0 0.71 --n1x1 2 --c1x1 0 --p1x1 0.77 --s2 1  --n2 1 --n2x0 2 --c2x0 1 --p2x0 0.1 --s3 5 --rep3 1.12 --n3 3 --n3x0 1 --c3x0 4 --w3x0 9.6 --p3x0 6 --n3x1 0 --c3x1 0 --p3x1 0.06 --n3x2 0 --c3x2 0 --p3x2 0.49 ,"[0.7765335067995386, 0.738055634293448, 0.7110868427119823, 0.6688715175859843, 0.6628825238585387, 0.6533527483429338, 0.6490732099526609, 0.6423600485370021, 0.6316623115479142, 0.6221521805698391, 0.6153823883439792, 0.5989337303072262, 0.5971095072527006, 0.5686494762563734, 0.5444693940890868, 0.4892690273486198, 0.48297284868706786, 0.41016007875654337, 0.39811176644657376, 0.34952683162397297, 0.37533030281774565, 0.3059822769424954, 0.13034412790478833, 0.12477920046033139, 0.12475840623867414, 0.12425792156610117, 0.12310355302818247, 0.12030959311106919, 0.11864638230339043, 0.11622799242782077, 0.11503898043774484, 0.11450573334108534, 0.11122828263224005, 0.11030832128222447, 0.10838549481229418, 0.10631725403037413, 0.10422843242130422, 0.10377298585580913, 0.10293451061962657, 0.10273130509391948, 0.8883541422033546, 0.8883541422033546, 0.887619208516336, 0.887619208516336, 0.8869571547849918, 0.8821638333581817, 0.8726399815967846, 0.8726399815967846, 0.8723710894877013, 0.8723710894877013, 0.869338496941451, 0.869338496941451, 0.8604058794740538, 0.8534313170537973, 0.843083824075468, 0.8329578801126796, 0.820907389108788, 0.8049803457773396, 0.5276064600029755, 0.5276064600029755, 0.013]",0
39,30,25,24,23,17,16,16,12,11,11,10,9,8,7,6,5,4,4,4,39,25,23,23,22,19,18,18,11,11,10,8,8,6,6,6,4,4,4,4,26,26,23,23,22,22,20,20,20,19,18,17,16,16,16,16,16,16,16,15,6,--fsm-config --nstates 3 --s0 5 --rep0 4.87 --s1 5 --rep1 0.68 --n1 1 --n1x0 0 --c1x0 5 --p1x0 0.63 --s2 3  ,"[1.0, 0.7750432927961428, 0.6634501964310914, 0.6201554803784803, 0.6046198694075081, 0.44923173123632304, 0.41685096698245666, 0.41173348449597225, 0.31164621145080124, 0.3023236864000075, 0.28324314018119273, 0.26903442740152705, 0.23769024914036052, 0.21329990916162778, 0.18515254035082265, 0.15569675340788355, 0.1490205996089433, 0.12050460811858069, 0.10614856837723066, 0.10466164017930175, 1.0, 0.6567590604907131, 0.6024578513597649, 0.5999283545572565, 0.5840498290903783, 0.48878478413377496, 0.48121520872184487, 0.4647617574630249, 0.30614107441977967, 0.29200082219707185, 0.26773873742943, 0.21776399999752882, 0.2168569299402544, 0.17382811853492494, 0.16369924388029816, 0.15981078672005036, 0.12275991629782997, 0.12134384337648456, 0.10770883403912607, 0.10356826477921457, 0.6822857442788526, 0.6822857442788526, 0.605248137150147, 0.605248137150147, 0.58567455317463, 0.58567455317463, 0.5292608623664857, 0.5292608623664857, 0.5264759581798206, 0.48966644978587537, 0.4860080967578402, 0.43902722439690334, 0.43311521644862677, 0.43311521644862677, 0.4302466140813224, 0.4302466140813224, 0.42934117989766973, 0.41206118889211696, 0.41042773616510964, 0.394303075706532, 0.16066666666666668]",2
39,39,39,33,29,28,28,25,24,19,16,15,14,13,9,7,7,6,5,4,39,33,29,18,17,16,15,13,12,11,11,9,9,8,7,6,5,4,4,3,35,35,33,33,32,32,30,30,30,26,26,24,24,24,24,23,23,19,17,17,7,--fsm-config --nstates 4 --s0 0 --rwm0 96 --n0 1 --n0x0 0 --c0x0 1 --p0x0 0.06 --s1 1  --n1 1 --n1x0 0 --c1x0 5 --p1x0 0.41 --s2 1  --n2 1 --n2x0 2 --c2x0 0 --p2x0 0.72 --s3 0 --rwm3 44 --n3 1 --n3x0 2 --c3x0 0 --p3x0 0.81 ,"[1.0, 1.0, 1.0, 0.8658433331694677, 0.7589936596553409, 0.7278430912006948, 0.7198636203150085, 0.6442025233079373, 0.6232692095260062, 0.4943622236126621, 0.41863951077404443, 0.3866102425567898, 0.37034961864712845, 0.33382420948985153, 0.25070567863446175, 0.1924803704196986, 0.18298337078876448, 0.1749460494614257, 0.12839436677963298, 0.11482589245875201, 1.0, 0.8528628953349473, 0.7460676592925083, 0.4632086074576369, 0.4594195563781323, 0.42859682983417957, 0.4042790931424252, 0.3374910483574076, 0.3103977217172579, 0.29025222660906663, 0.28941749215013085, 0.2480399078874644, 0.23248153869017474, 0.20996969495521697, 0.190332657049157, 0.17626101578691994, 0.14736873018503796, 0.11453136889027855, 0.10312486099349968, 0.10211357711747776, 0.8981748396291535, 0.8981748396291535, 0.8713785871099791, 0.8713785871099791, 0.835859042220742, 0.835859042220742, 0.7927188181772582, 0.7927188181772582, 0.769713475053029, 0.677541601002154, 0.677541601002154, 0.6323137097242796, 0.6323137097242796, 0.6313626062047608, 0.6296727078984644, 0.6080651742347469, 0.6080651742347469, 0.49533643031210534, 0.4442376673330424, 0.4442376673330424, 0.183625]",3
33,30,24,24,20,19,16,15,13,12,11,11,8,8,7,7,6,6,5,5,39,39,33,32,30,27,24,13,13,13,12,11,10,9,6,6,6,5,5,4,34,34,29,29,28,28,25,24,23,23,23,23,22,22,21,21,20,20,15,15,11,--fsm-config --nstates 1 --s0 1  ,"[0.8528563852000681, 0.7813930727872813, 0.6300876954782791, 0.6159434957759485, 0.5133255005550035, 0.48870689225329045, 0.4144664519175899, 0.401731757835081, 0.34618069140472896, 0.3292544818471219, 0.2873136181953211, 0.2863511688012208, 0.22510226687953644, 0.20784003944941812, 0.19664619808793124, 0.1898644506991385, 0.16613182031639812, 0.16602992325691926, 0.13066126387969676, 0.1306243964109175, 1.0, 1.0, 0.8710491475673626, 0.8235306588550975, 0.7726911146467361, 0.6976854297615126, 0.620623444447275, 0.34995068117921474, 0.34661814665047264, 0.3428119090647196, 0.3237092332073926, 0.28643332187745074, 0.2672691387007239, 0.24146513026636846, 0.16450251080190997, 0.1562419432837555, 0.1544031794948347, 0.14142733417327724, 0.1402384994999507, 0.10753829351982218, 0.89647402854185, 0.89647402854185, 0.745603516291438, 0.745603516291438, 0.7337042298773337, 0.7337042298773337, 0.6420016871258221, 0.6318589115975195, 0.5903392426055726, 0.5903392426055726, 0.5900369397403729, 0.5900369397403729, 0.573819190430774, 0.5656923255375743, 0.5599059308596144, 0.5539327987087129, 0.537519607999168, 0.516021951742728, 0.3972776489730318, 0.3972776489730318, 0.3]",6
